gorev_id,gorev_adi,kosu_id,frame_id,goreli_goruntu_yolu,frame_durumu,model_surumu,soguk_baslangic,oturum_kurulum_suresi,surec_kare_sirasi,surec_id,karo_sayisi,tespit_sayisi,hata_sinifi,kuyruk_bekleme,goruntu_okuma,karolama,onnx_cikarim,nms_koordinat,db_yazma,frame_toplam,uctan_uca_sure,kosu_gorev_adi,kosu_gorev_id,kosu_kosu_id,kosu_model_surumu,kosu_model_cercevesi,kosu_onnx_sha256,kosu_onnx_model_yolu,kosu_goruntu_dizini,kosu_olcum_yolu,kosu_olcum_secenegi,kosu_store_floor,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
10,olcum-onnx-tek-okuma-20260912-153715,8,342,data/heridal/test/images/test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,done,model512-onnx,evet,0.0574,1,23,80,44,,0.0903,0.1017,0.0937,10.0386,0.1711,0.0111,10.4374,10.4374,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,343,data/heridal/test/images/train_VRD_3055_JPG.rf.7d8b8bddf264b906d9c5f871a81f65dd.jpg,done,model512-onnx,evet,0.0518,1,24,80,0,,0.1469,0.1924,0.0764,9.7293,0.1338,0.0119,10.1579,10.158,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,344,data/heridal/test/images/train_VRD_3056_JPG.rf.85cad2c23ad4c769419e21969be619b9.jpg,done,model512-onnx,hayir,0.0,2,24,80,0,,10.3351,0.2298,0.0003,10.4328,0.1445,0.0187,10.8599,10.86,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,345,data/heridal/test/images/train_VRD_3057_JPG.rf.f86d02baf33b278e7ef0cdc4bc73d0a9.jpg,done,model512-onnx,hayir,0.0,2,23,80,0,,10.5331,0.1876,0.0002,11.852,0.1726,0.0175,12.2421,12.2421,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,346,data/heridal/test/images/train_VRD_3058_JPG.rf.710ef627937d5c49e259cb163061ae33.jpg,done,model512-onnx,hayir,0.0,3,24,80,0,,21.2201,0.3008,0.0011,9.9992,0.1814,0.0255,10.5482,10.5482,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,347,data/heridal/test/images/train_VRD_3059_JPG.rf.78cad432e65d7941f11b7dd4e904eb5f.jpg,done,model512-onnx,hayir,0.0,3,23,80,1,,22.8463,0.2338,0.0002,10.5454,0.1572,0.0322,11.0195,11.0195,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,348,data/heridal/test/images/train_VRD_3061_JPG.rf.3be6b1547def39345610baf26c4570e8.jpg,done,model512-onnx,hayir,0.0,4,24,80,0,,31.8025,0.4357,0.0004,11.4671,0.1903,0.0536,12.1764,12.1765,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,349,data/heridal/test/images/train_VRD_3062_JPG.rf.c7763470dd8621a18525ba51c08e6abe.jpg,done,model512-onnx,hayir,0.0,4,23,80,2,,33.8933,0.2928,0.0006,11.3625,0.1906,0.0195,11.8975,11.8975,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,350,data/heridal/test/images/train_VRD_3063_JPG.rf.9fa84c4cacfdbcf9ea5e80ac5d4a9928.jpg,done,model512-onnx,hayir,0.0,5,24,80,1,,44.0484,0.2977,0.0005,10.813,0.1521,0.0257,11.3424,11.3424,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
10,olcum-onnx-tek-okuma-20260912-153715,8,351,data/heridal/test/images/train_VRD_3064_JPG.rf.a3264a41566e7502902096b0c80661b5.jpg,done,model512-onnx,hayir,0.0,5,23,80,0,,45.8528,0.336,0.0005,10.2543,0.156,0.0183,10.8069,10.8069,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
