senaryo,finding_sayisi,esik_metre,provenance_grubu,beklenen_kume_sayisi,gercek_kume_sayisi,beklenen_uyelik,gercek_uyelik,deterministik_mi,idempotent_mi,gecti_kaldi,test,sure_sn,not,kosu_tarih,kosu_postgis,kosu_python,kosu_komut,kosu_kapsam_notu
tek nokta,1,50.0,manual,1,1,1 kume: {A},A:gercek#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0087,,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
iki yakin nokta (10 m),2,50.0,manual,1,1,"1 kume: {A,B}",A:gercek#1 B:gercek#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0075,esik 50 m,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
iki uzak nokta (500 m),2,50.0,manual,2,2,2 kume: {A} {B},A:gercek#1 B:gercek#2,evet,evet,gecti,backend/tests/test_kumeleme.py,0.002,esik 50 m,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
gecisli uclu A-B-C (40+40 m),3,50.0,manual,1,1,"1 kume: {A,B,C}",A:gercek#1 B:gercek#1 C:gercek#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0023,A-C arasi 80 m > esik; gecislilik nedeniyle tek kume,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
ayni koordinat,3,50.0,manual,1,1,"1 kume: {A,B,C}",A:gercek#1 B:gercek#1 C:gercek#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0023,,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
esik sinirinin hemen icinde (49 m),2,50.0,manual,1,1,"1 kume: {A,B}",A:gercek#1 B:gercek#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0018,,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
esik sinirinin hemen disinda (51 m),2,50.0,manual,2,2,2 kume: {A} {B},A:gercek#1 B:gercek#2,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0019,,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
demo ve gercek ayrimi,2,50.0,"demo,manual",2,2,2 kume: gercek{A} demo{B},A:gercek#1 B:demo#1,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0019,5 m yakin ama gruplar ayri,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
null konum kumelenmez,2,50.0,"manual,none",1,1,1 kume: {A}; konumsuz kume disi,A:gercek#1 B:kumesiz,evet,evet,gecti,backend/tests/test_kumeleme.py,0.0016,,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
farkli gorevler karismiyor,4,50.0,manual,2,2,"her gorevde 1 kume, 2 uye",gorev_a: 1 kume/2 uye; gorev_b: 1 kume/2 uye,evet,evet,gecti,backend/tests/test_kumeleme.py,,Ayni koordinatlar iki ayri gorevde; kumeler gorev sinirini asmiyor,2026-09-13 00:30:33,3.5.3,3.13.1,python scripts/23_kumeleme_dogrula.py,Senaryo dogrulamasi; gercek PostGIS mesafesiyle calisir. Veri kumesi kucuk oldugu icin sure sutunu OLCEKLENEBILIRLIK IDDIASI TASIMAZ.
