islem,owner,operator,viewer,uye_olmayan,beklenen_http,gercek_http,gecti_kaldi,test,not,kosu_tarih,kosu_python,kosu_komut,kosu_kapsam_notu
Mission listeleme,200,200,200,200,owner=200 operator=200 viewer=200 uye_olmayan=200,owner=200 operator=200 viewer=200 uye_olmayan=200,gecti,test_uyelik.py::test_uye_olmayan_gorevi_listede_gormez,Uye olmayan da 200 alir ama listesi BOS doner,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Mission goruntuleme,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_gorev_ayrintisi_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Uye listeleme,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_uye_listesi_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Uye ekleme,201,403,403,404,owner=201 operator=403 viewer=403 uye_olmayan=404,owner=201 operator=403 viewer=403 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_uye_ekleme_matrisi,Her rol icin ayri aday kullanici,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Rol degistirme,200,403,403,404,owner=200 operator=403 viewer=403 uye_olmayan=404,owner=200 operator=403 viewer=403 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_rol_degistirme_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Uye cikarma (son owner),400,403,403,404,owner=400 operator=403 viewer=403 uye_olmayan=404,owner=400 operator=403 viewer=403 uye_olmayan=404,gecti,test_uyelik.py::test_son_owner_cikarilamaz,"owner icin 400: son sahip korumasi devrede, yetki degil kural engeli",2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Frame listeleme,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_kare_listesi_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Frame ekleme,201,201,403,404,owner=201 operator=201 viewer=403 uye_olmayan=404,owner=201 operator=201 viewer=403 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_kare_ekleme_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Frame goruntu dosyasi,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_kare_goruntusu_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Run listeleme,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_yetki_matrisi.py::test_kosu_listesi_matrisi,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
Run goruntuleme,200,200,200,404,owner=200 operator=200 viewer=200 uye_olmayan=404,owner=200 operator=200 viewer=200 uye_olmayan=404,gecti,test_runs.py::test_baskasinin_kosusunu_gormek_404,,2026-09-13 00:35:29,3.13.1,python scripts/24_yetki_matrisi.py,"Kodlar GERCEK cagrilardan okundu, elle yazilmadi. Gecici gorev ve kullanicilar olcum sonunda silindi."
