aday_kimligi,model,goruntu_adi,kaynak_onek,skor,x1,y1,x2,y2,kutu_genislik,kutu_yukseklik,en_iyi_gt_iou,eslesen_gt_iou,tp_fp,calisma_esigi,fp_butcesi,dislama_gerekcesi,kor_kimlik,kontrol_kor_kimlik,ornege_alindi,katman,katman_secilme_olasiligi,kosu_protokol,kosu_bolum,kosu_goruntu_sayisi,kosu_taban_tahmin_kaynagi,kosu_model_tahmin_kaynagi,kosu_taban_calisma_esigi,kosu_model_calisma_esigi,kosu_fp_butcesi,kosu_eslestirme_iou,kosu_ortusen_fp_iou,kosu_kontrol_tahmin_iou,kosu_baglam_katsayi,kosu_baglam_asgari_kenar,kosu_model_basina_hedef,kosu_katman_tabani,kosu_tohum,kosu_kapsam_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
taban_00001,Taban-512,test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,ZRI,0.8758,1234.6,1042.0,1280.4,1108.9,45.8,66.9,0.7706,0.7706,TP,0.3,1.8089,,,,hayir,,,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00002,Taban-512,test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,ZRI,0.6132,3280.2,1413.7,3352.8,1518.9,72.6,105.2,0.5784,0.5784,TP,0.3,1.8089,,,,hayir,,,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00003,Taban-512,test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,ZRI,0.4994,2088.7,2544.4,2110.6,2561.8,21.9,17.4,0.0,,FP,0.3,1.8089,,,,hayir,,,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00004,Taban-512,test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,ZRI,0.4881,1340.1,2454.8,1409.4,2529.2,69.3,74.4,0.7588,0.7588,TP,0.3,1.8089,,,,hayir,,,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00005,Taban-512,test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,ZRI,0.3924,1138.8,1023.6,1202.1,1075.4,63.3,51.8,0.5921,0.5921,TP,0.3,1.8089,,,,hayir,,,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00006,Taban-512,train_VRD_3058_JPG.rf.710ef627937d5c49e259cb163061ae33.jpg,VRD,0.4111,716.8,1006.2,750.1,1074.8,33.3,68.6,0.0,,FP,0.3,1.8089,,a0206,a0375,evet,Taban-512/VRD,1.0,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00007,Taban-512,train_VRD_3058_JPG.rf.710ef627937d5c49e259cb163061ae33.jpg,VRD,0.3665,690.8,1190.9,733.5,1248.9,42.7,58.0,0.0,,FP,0.3,1.8089,,a0094,a0134,evet,Taban-512/VRD,1.0,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00008,Taban-512,train_VRD_3058_JPG.rf.710ef627937d5c49e259cb163061ae33.jpg,VRD,0.3344,274.7,2666.2,305.2,2721.1,30.5,54.9,0.0,,FP,0.3,1.8089,,a0264,a0147,evet,Taban-512/VRD,1.0,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00009,Taban-512,train_VRD_3061_JPG.rf.3be6b1547def39345610baf26c4570e8.jpg,VRD,0.6729,866.1,1169.0,907.6,1254.1,41.5,85.1,0.0,,FP,0.3,1.8089,,a0361,a0327,evet,Taban-512/VRD,1.0,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
taban_00010,Taban-512,train_VRD_3061_JPG.rf.3be6b1547def39345610baf26c4570e8.jpg,VRD,0.3695,482.7,840.4,510.2,889.8,27.5,49.4,0.0,,FP,0.3,1.8089,,a0315,a0085,evet,Taban-512/VRD,1.0,reports/hafta7_fp_protokolu.md,test,157,tahminler_taban512_hafta7.csv,tahminler_model512.csv,0.3,0.52,1.8089,0.3,0.5,0.1,8,512,110,55,20260913,"Esikler, katsayilar ve ornek buyuklukleri KARARDIR; olcumden turetilmedi. Ayrinti protokol dosyasinda.",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:08:36,scripts/25_esit_fp_adaylari.py
