kor_kimlik,mod,insan_faaliyeti,alt_kategori,guven,goruntu_yeterli,yeniden_incele,not,etiket_sirasi,kaydedilme_zamani,kosu_protokol,kosu_manifest,kosu_manifest_ozeti,kosu_arac,kosu_tohum,kosu_kapsam_notu
a0001,ana,yok,dogal_bitki,yuksek,evet,hayir,,1,2026-09-13T07:18:08.452Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0002,ana,yok,dogal_bitki,yuksek,evet,hayir,,7,2026-09-13T07:18:15.972Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0003,ana,yok,baska,yuksek,evet,hayir,,2,2026-09-13T07:13:34.287Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0004,ana,var,insan_suphesi,yuksek,evet,hayir,,8,2026-09-13T07:18:29.564Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0005,ana,yok,dogal_bitki,yuksek,evet,hayir,,3,2026-09-13T07:14:11.853Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0006,ana,var,altyapi_ekipman,yuksek,evet,hayir,,9,2026-09-13T07:18:42.684Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0007,ana,yok,yol_patika,yuksek,evet,hayir,,4,2026-09-13T07:14:20.798Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0008,ana,yok,dogal_bitki,yuksek,evet,hayir,,10,2026-09-13T07:18:47.176Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0009,ana,yok,baska,yuksek,evet,hayir,,5,2026-09-13T07:14:35.434Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0010,ana,yok,baska,yuksek,evet,hayir,,11,2026-09-13T07:18:52.686Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0011,ana,var,insan_suphesi,yuksek,evet,hayir,,6,2026-09-13T07:14:49.494Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0012,ana,yok,yol_patika,yuksek,evet,hayir,,12,2026-09-13T07:18:56.343Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0014,ana,yok,dogal_bitki,yuksek,evet,hayir,,13,2026-09-13T07:19:00.258Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0016,ana,var,yol_patika,yuksek,evet,hayir,,14,2026-09-13T07:19:12.847Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
a0018,ana,yok,baska,yuksek,evet,hayir,,15,2026-09-13T07:19:21.107Z,reports/hafta7_fp_protokolu.md,reports/hafta7_fp_etiket_manifesti.csv,6acdb58f078d49eb,frontend etiketleme.html (yerel gelistirme araci),20260913,"Tek etiketleyici. mod=ana birincil tur, mod=kalite ayni adaylarin yeniden-test turudur; annotatorlar arasi guvenilirlik DEGILDIR."
