epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.921,1.65499,3.7432,1.31187,0.63772,0.45759,0.47541,0.2377,1.75814,3.71734,1.38113,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661
2,185.124,1.82854,2.13646,1.47454,0.32034,0.21571,0.15237,0.05118,2.37876,3.51838,2.09487,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401
3,259.556,2.13362,2.33507,1.6729,0.35145,0.32984,0.25922,0.1115,1.99607,6.96112,1.84621,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541
4,331.045,2.18502,2.3129,1.76779,0.35288,0.30157,0.23566,0.09762,1.93332,2.6906,1.71353,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,403.356,2.08421,2.16337,1.70168,0.38475,0.38325,0.33152,0.14977,1.85097,2.38907,1.62105,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,476.229,2.01454,2.11829,1.65009,0.41767,0.42304,0.34718,0.16082,1.74372,2.77618,1.51621,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,548.903,1.92344,1.90208,1.57193,0.47675,0.53089,0.40916,0.18311,1.75847,2.03101,1.5521,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,622.109,1.90541,1.76645,1.5561,0.5189,0.45759,0.42449,0.19531,1.76511,1.95512,1.58159,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,694.208,1.85868,1.76644,1.52246,0.57849,0.57339,0.52742,0.24758,1.71653,1.73985,1.45885,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,766.793,1.82819,1.69464,1.48708,0.53703,0.5223,0.4668,0.24252,1.71012,1.8132,1.50943,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,839.507,1.78946,1.65783,1.49653,0.53649,0.59686,0.52843,0.27632,1.59054,2.01794,1.43408,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,912.649,1.77845,1.62993,1.46664,0.66011,0.4911,0.5382,0.2903,1.5994,2.24137,1.41548,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,984.97,1.75107,1.56128,1.44891,0.67902,0.59367,0.60718,0.31454,1.58446,1.5439,1.36772,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1057.45,1.74263,1.49507,1.45435,0.66189,0.56577,0.60401,0.33119,1.56519,1.61615,1.39864,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1129.47,1.72409,1.50812,1.4438,0.61123,0.61078,0.60448,0.32888,1.57021,1.52861,1.37866,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1201.33,1.68353,1.46207,1.42163,0.69143,0.5822,0.6151,0.33235,1.58581,1.57554,1.34321,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1273.29,1.67553,1.39046,1.41684,0.6665,0.58743,0.5974,0.32313,1.58272,1.52934,1.44178,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1345.48,1.66038,1.39397,1.40874,0.68245,0.55811,0.61632,0.34491,1.5382,1.54741,1.35176,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1417.42,1.65619,1.38016,1.39559,0.70757,0.64188,0.65937,0.36511,1.53286,1.44424,1.37219,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
