olcu,grup_no,grup_alt,grup_ust,kutu_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,medyan_olcu,nokta_cift_korelasyon,ornek_durumu,kosu_analiz,kosu_grup_sayisi,kosu_grup_yontemi,kosu_grup_sinirlari,kosu_korelasyon_tanimi,kosu_conf_esigi,kosu_girdi_dosyasi,kosu_kutu_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
kutu_genislik_px,1,,45.0,630,172,458,0.273,39.0,0.0438,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_genislik_px,2,45.0,55.0,627,187,440,0.2982,50.0,0.0438,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_genislik_px,3,55.0,66.0,597,205,392,0.3434,61.0,0.0438,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_genislik_px,4,66.0,81.0,610,205,405,0.3361,73.0,0.0438,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_genislik_px,5,81.0,,609,202,407,0.3317,95.0,0.0438,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_yukseklik_px,1,,44.0,632,71,561,0.1123,39.0,0.3258,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_yukseklik_px,2,44.0,55.0,637,133,504,0.2088,51.0,0.3258,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_yukseklik_px,3,55.0,65.0,602,182,420,0.3023,60.0,0.3258,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_yukseklik_px,4,65.0,80.0,611,255,356,0.4173,72.0,0.3258,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
kutu_yukseklik_px,5,80.0,,591,330,261,0.5584,95.0,0.3258,yeterli,olcu karsilastirmasi (genislik / yukseklik / alan),5,her olcunun kendi dagiliminin besli ceyrekleri,"kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; kutu_alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
