olcu,grup_no,grup_alt,grup_ust,kutu_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,medyan_olcu,nokta_cift_korelasyon,ornek_durumu,kosu_analiz,kosu_olculer,kosu_grup_sayisi,kosu_grup_yontemi,kosu_grup_sinirlari,kosu_korelasyon_tanimi,kosu_conf_esigi,kosu_girdi_dosyasi,kosu_kutu_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
min_kenar_px,1,,40.7,615,117,498,0.1902,36.0,0.1872,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
min_kenar_px,2,40.7,48.0,639,176,463,0.2754,44.0,0.1872,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
min_kenar_px,3,48.0,56.0,609,184,425,0.3021,52.0,0.1872,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
min_kenar_px,4,56.0,66.0,612,224,388,0.366,61.0,0.1872,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
min_kenar_px,5,66.0,,598,270,328,0.4515,75.0,0.1872,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
maks_kenar_px,1,,53.0,625,85,540,0.136,46.0,0.2378,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
maks_kenar_px,2,53.0,65.0,619,166,453,0.2682,59.0,0.2378,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
maks_kenar_px,3,65.0,77.0,624,201,423,0.3221,72.0,0.2378,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
maks_kenar_px,4,77.0,93.0,621,246,375,0.3961,84.0,0.2378,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
maks_kenar_px,5,93.0,,584,273,311,0.4675,109.0,0.2378,yeterli,genisletilmis olcu karsilastirmasi,"min_kenar_px, maks_kenar_px, yukseklik_genislik_orani, kutu_genislik_px, kutu_yukseklik_px, alan_px2",5,her olcunun kendi dagiliminin besli ceyrekleri,"min_kenar_px: 40.7, 48.0, 56.0, 66.0; maks_kenar_px: 53.0, 65.0, 77.0, 93.0; yukseklik_genislik_orani: 0.711, 0.900, 1.087, 1.384; kutu_genislik_px: 45.0, 55.0, 66.0, 81.0; kutu_yukseklik_px: 44.0, 55.0, 65.0, 80.0; alan_px2: 2254.0, 3195.0, 4300.0, 5921.2",nokta-cift (olcu ile ikili eslesti degiskeni arasinda Pearson),0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
