bolum,onek,goruntu_sayisi,kutu_sayisi,kutu_goruntu_basina,bos_goruntu,bos_yuzde,kosu_veri_kok,kosu_bolumler,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
train,ZRI,34,319,9.38,4,11.8,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,MED,115,229,1.99,34,29.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,GOR,172,217,1.26,65,37.8,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,VRD,253,164,0.65,122,48.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,BRK,115,161,1.4,27,23.5,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,TRS,37,98,2.65,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,JAS,149,81,0.54,79,53.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,BRS,42,62,1.48,13,31.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,BRA,51,53,1.04,24,47.1,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,SB,21,49,2.33,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,RAK,66,41,0.62,29,43.9,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,CAP,46,20,0.43,34,73.9,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
train,BLA,5,15,3.0,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,MED,33,109,3.3,6,18.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,BRK,40,55,1.38,8,20.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,BRA,23,47,2.04,5,21.7,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,SB,19,47,2.47,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,BLI,9,46,5.11,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,GOR,39,43,1.1,17,43.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,BRS,24,40,1.67,5,20.8,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,ZRI,5,39,7.8,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,CAB,8,34,4.25,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,TRS,12,32,2.67,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,CAP,18,24,1.33,9,50.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,GRO,10,21,2.1,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,JAS,37,17,0.46,23,62.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,MOB,5,13,2.6,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,RAK,14,10,0.71,4,28.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,VRD,17,10,0.59,8,47.1,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
valid,BLA,3,7,2.33,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
test,ZRI,87,939,10.79,3,3.4,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
test,VRD,70,31,0.44,42,60.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,ZRI,126,1297,10.29,7,5.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,MED,148,338,2.28,40,27.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,GOR,211,260,1.23,82,38.9,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,BRK,155,216,1.39,35,22.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,VRD,340,205,0.6,172,50.6,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,TRS,49,130,2.65,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,BRS,66,102,1.55,18,27.3,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,BRA,74,100,1.35,29,39.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,JAS,186,98,0.53,102,54.8,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,SB,40,96,2.4,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,RAK,80,51,0.64,33,41.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,BLI,9,46,5.11,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,CAP,64,44,0.69,43,67.2,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,CAB,8,34,4.25,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,BLA,8,22,2.75,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
HEPSI,GRO,10,21,2.1,0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/data/heridal,"train,valid,test",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:09:08,scripts/00_veri_incele.py
