kaynak_onek,kutu_sayisi,medyan_kutu_kenar_px,medyan_kontrast_mutlak,medyan_kontrast_isaretli,medyan_ic_parlaklik,recall_conf0.3,boyut_modelinden_artik,kosu_bolumler,kosu_halka_katsayisi,kosu_olculen_kutu,kosu_kaynak_sayisi,kosu_recall_conf_esigi,kosu_boyut_modeli,kosu_kontrast_artik_pearson,kosu_kontrast_artik_spearman,kosu_kontrast_recall_pearson,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
BLI,46,66.9,11.23,-3.31,113.2,0.1957,-0.2002,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
GRO,21,55.7,12.1,4.48,154.2,0.0952,-0.1382,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
CAB,34,53.0,20.48,2.41,113.2,0.0882,-0.1061,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
MED,338,63.2,8.85,-2.38,126.8,0.2811,-0.0611,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
GOR,260,63.1,20.69,-15.09,100.9,0.3077,-0.0331,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
BRK,216,61.9,15.17,-0.02,108.4,0.3102,-0.0132,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
BRA,100,43.8,5.54,-1.44,44.9,0.05,-0.0108,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
BRS,102,44.9,11.19,9.28,74.7,0.0686,-0.0082,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
SB,96,46.6,9.35,-5.29,109.6,0.0938,-0.0076,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
BLA,22,60.7,6.5,-2.88,131.2,0.3182,0.0122,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
ZRI,1297,64.9,13.74,-6.11,89.2,0.384,0.0171,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
RAK,51,65.0,11.78,-1.86,127.1,0.3922,0.0239,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
TRS,130,42.5,14.73,12.95,132.1,0.1231,0.0811,train+valid+test,3.0,3073,17,0.3,recall = 0.01451 * kenar + -0.57450,-0.0677,-0.0368,0.1147,model taramasi yapilmadi; kontrast gri tonlamali pikselden olculdu,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:07:30,scripts/05_kontrast_analiz.py
