kaynak_onek,goruntu_sayisi,kutu_sayisi,medyan_genislik_px,medyan_yukseklik_px,medyan_alan_px2,medyan_kenar_px,recall_conf0.05,recall_conf0.15,recall_conf0.3,fp_goruntu_basina_conf0.3,kosu_bolumler,kosu_kaynak_sayisi,kosu_toplam_kutu,kosu_grafik_conf_esigi,kosu_pearson_r,kosu_spearman_rho,kosu_taban_cizgisi_dosyasi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
ZRI,126,1297,66.0,62.0,4212.0,64.9,0.734,0.5574,0.384,2.59,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
MED,148,338,61.0,64.0,3992.5,63.2,0.4911,0.3609,0.2811,0.53,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
GOR,211,260,60.0,60.0,3984.0,63.1,0.55,0.3923,0.3077,2.87,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
BRK,155,216,56.5,67.0,3826.5,61.9,0.5093,0.3981,0.3102,0.21,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
VRD,340,205,63.0,60.0,3465.0,58.9,0.7854,0.6195,0.4098,0.49,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
TRS,49,130,43.0,42.5,1804.0,42.5,0.3077,0.2077,0.1231,0.22,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
BRS,66,102,40.0,40.0,2018.5,44.9,0.3725,0.2157,0.0686,0.59,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
BRA,74,100,50.5,40.0,1918.0,43.8,0.18,0.08,0.05,0.41,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
JAS,186,98,58.5,58.0,3496.0,59.1,0.7245,0.551,0.3776,0.31,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
SB,40,96,43.0,43.5,2171.5,46.6,0.3438,0.2083,0.0938,0.3,train+valid+test,17,3073,0.3,0.8196,0.6667,taban_cizgisi_onek.csv,model taramasi yapilmadi; kutu olcumleri etiket dosyalarindan,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 14:51:47,scripts/04_kutu_boyutu_analiz.py
