kapsam,alan_tabakasi,tabaka_alt_px2,tabaka_ust_px2,oran_grubu,oran_araligi,kutu_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,medyan_alan_px2,medyan_genislik_px,medyan_yukseklik_px,medyan_enboy_orani,ornek_durumu,kosu_analiz,kosu_alan_tanimi,kosu_tabaka_sayisi,kosu_tabaka_yontemi,kosu_tabaka_sinirlari_px2,kosu_oran_sinirlari,kosu_conf_esigi,kosu_girdi_dosyasi,kosu_kutu_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
hepsi,kucuk,,2860.0,yatay,> 1.5,128,15,113,0.1172,2323.0,63.0,35.6,1.713,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,kucuk,,2860.0,kare_benzeri,0.8 - 1.5,668,96,572,0.1437,2021.0,46.0,43.0,1.057,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,kucuk,,2860.0,dikey,< 0.8,229,80,149,0.3493,2067.0,37.0,55.0,0.698,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,orta,2860.0,4779.0,yatay,> 1.5,164,31,133,0.189,3648.0,80.0,46.0,1.717,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,orta,2860.0,4779.0,kare_benzeri,0.8 - 1.5,555,148,407,0.2667,3685.0,63.0,58.0,1.081,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,orta,2860.0,4779.0,dikey,< 0.8,305,154,151,0.5049,3740.0,48.0,77.0,0.648,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,buyuk,4779.0,,yatay,> 1.5,189,51,138,0.2698,6240.0,109.0,60.0,1.776,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,buyuk,4779.0,,kare_benzeri,0.8 - 1.5,514,201,313,0.3911,6155.0,84.0,76.0,1.099,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
hepsi,buyuk,4779.0,,dikey,< 0.8,321,195,126,0.6075,6664.0,64.0,106.0,0.629,yeterli,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
ZRI_HARIC,kucuk,,2572.3,yatay,> 1.5,73,6,67,0.0822,2065.0,60.0,33.0,1.696,az ornek,oran etkisi / alan tabakasi kontrolu,genislik_px * yukseklik_px,3,kapsamin kendi alan dagiliminin uclu ceyrekleri,"hepsi: 2860.0, 4779.0; ZRI_HARIC: 2572.3, 4334.7",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:47:41,scripts/08_oran_boyut_kontrol.py
