kapsam,yukseklik_tabakasi,tabaka_alt_px,tabaka_ust_px,oran_grubu,oran_araligi,kutu_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,medyan_yukseklik_px,medyan_genislik_px,medyan_alan_px2,medyan_enboy_orani,ornek_durumu,kosu_analiz,kosu_tabaka_olcusu,kosu_tabaka_sayisi,kosu_tabaka_yontemi,kosu_tabaka_sinirlari_px,kosu_oran_sinirlari,kosu_conf_esigi,kosu_girdi_dosyasi,kosu_kutu_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
hepsi,kisa,,52.0,yatay,> 1.5,312,50,262,0.1603,42.0,75.0,3161.0,1.747,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,kisa,,52.0,kare_benzeri,0.8 - 1.5,690,101,589,0.1464,43.0,47.0,2055.0,1.109,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,kisa,,52.0,dikey,< 0.8,90,18,72,0.2,46.5,32.0,1446.0,0.725,az ornek,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,orta,52.0,70.0,yatay,> 1.5,137,30,107,0.219,59.0,104.0,6048.0,1.712,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,orta,52.0,70.0,kare_benzeri,0.8 - 1.5,667,182,485,0.2729,60.0,65.0,3968.0,1.075,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,orta,52.0,70.0,dikey,< 0.8,193,86,107,0.4456,63.0,43.0,2640.0,0.704,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,uzun,70.0,,yatay,> 1.5,32,17,15,0.5312,76.0,138.0,10358.0,1.745,yetersiz ornek,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,uzun,70.0,,kare_benzeri,0.8 - 1.5,380,162,218,0.4263,80.0,83.5,6824.0,0.988,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
hepsi,uzun,70.0,,dikey,< 0.8,572,325,247,0.5682,89.5,57.0,5072.0,0.621,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
ZRI_HARIC,kisa,,49.0,yatay,> 1.5,178,18,160,0.1011,38.1,72.0,2719.5,1.805,yeterli,oran etkisi / yukseklik tabakasi kontrolu,kutu_yukseklik_px,3,kapsamin kendi yukseklik dagiliminin uclu ceyrekleri,"hepsi: 52.0, 70.0; ZRI_HARIC: 49.0, 68.0",yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,0.3,kutu_bazinda_sonuc.csv,3073,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:04,scripts/09_yukseklik_kontrol.py
