sira,grup,goruntu,etiket_sayisi,tahmin_sayisi,eslesen,yanlis_pozitif,cikti_dosyasi,kosu_model,kosu_bolum,kosu_havuz_goruntu_sayisi,kosu_kalabalik_adet,kosu_az_etiketli_adet,kosu_az_etiketli_araligi,kosu_negatif_adet,kosu_karo_boyutu,kosu_ortusme_orani,kosu_conf_esigi,kosu_iou_esigi,kosu_maks_kenar,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
1,kalabalik,train_ZRI_3035_JPG.rf.200735874c12e560a2d58814a77819f8.jpg,29,25,15,10,01_kalabalik_train_ZRI_3035_JPG.rf.200735874c12e5.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
2,kalabalik,train_ZRI_3034_JPG.rf.cee0854389f8063b3f091fb1512b223b.jpg,28,22,15,7,02_kalabalik_train_ZRI_3034_JPG.rf.cee0854389f806.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
3,kalabalik,train_ZRI_2013_JPG.rf.fb6345ef2d790171d3f7e759f7e8a077.jpg,22,36,14,22,03_kalabalik_train_ZRI_2013_JPG.rf.fb6345ef2d7901.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
4,kalabalik,train_ZRI_3019_JPG.rf.0717ec5bd3af4d0e32b2c1de5e2575cf.jpg,22,18,11,7,04_kalabalik_train_ZRI_3019_JPG.rf.0717ec5bd3af4d.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
5,az_etiketli,train_VRD_3082_JPG.rf.bc32984470d6b81e6cda05017ace1730.jpg,1,3,1,2,05_az_etiketli_train_VRD_3082_JPG.rf.bc32984470d6b8.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
6,az_etiketli,train_VRD_3083_JPG.rf.8af8b7ba2f81349640d3de9849199918.jpg,1,3,1,2,06_az_etiketli_train_VRD_3083_JPG.rf.8af8b7ba2f8134.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
7,az_etiketli,train_VRD_3085_JPG.rf.1d6c6e8846eb0d17d57f80cd4adfc4cf.jpg,1,4,1,3,07_az_etiketli_train_VRD_3085_JPG.rf.1d6c6e8846eb0d.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
8,az_etiketli,train_VRD_3087_JPG.rf.77189923102c093b565f5ac08703611b.jpg,1,4,1,3,08_az_etiketli_train_VRD_3087_JPG.rf.77189923102c09.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
9,negatif,train_VRD_3055_JPG.rf.7d8b8bddf264b906d9c5f871a81f65dd.jpg,0,2,0,2,09_negatif_train_VRD_3055_JPG.rf.7d8b8bddf264b9.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
10,negatif,train_VRD_3056_JPG.rf.85cad2c23ad4c769419e21969be619b9.jpg,0,1,0,1,10_negatif_train_VRD_3056_JPG.rf.85cad2c23ad4c7.jpg,yolo11n.pt,test,157,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:46:35,scripts/03_gorsellestir.py --bolum test
