grup,yukseklik_bandi_px,conf_esigi,hedef_sayisi,taban_tp,taban_recall,model_tp,model_recall,fark_recall,az_ornek,kosu_girdi,kosu_tarama_notu,kosu_recall_turetimi,kosu_fp_turetimi,kosu_az_ornek_siniri,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
TOPLAM,<44,0.3,82,17,0.2073,62,0.7561,0.5488,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
TOPLAM,44-55,0.3,173,45,0.2601,139,0.8035,0.5434,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
TOPLAM,55-65,0.3,239,80,0.3347,196,0.8201,0.4854,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
TOPLAM,65-80,0.3,257,113,0.4397,221,0.8599,0.4202,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
TOPLAM,>=80,0.3,219,114,0.5205,170,0.7763,0.2557,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
ZRI,<44,0.3,80,17,0.2125,60,0.75,0.5375,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
ZRI,44-55,0.3,167,44,0.2635,133,0.7964,0.5329,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
ZRI,55-65,0.3,232,78,0.3362,190,0.819,0.4828,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
ZRI,65-80,0.3,249,111,0.4458,214,0.8594,0.4137,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
ZRI,>=80,0.3,211,108,0.5118,163,0.7725,0.2607,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
